id;gate_number;flight_number;date_available_from;date_available_to
1;AI conglomeration;Steel Money Market Account;2021-02-11T17:20:26;2021-02-11T14:41:03
2;Steel Dominican Republic;monitoring bandwidth;2021-02-10T20:15:33;2021-02-10T23:33:41
3;Ergonomic Planner optimal;Dynamic array Keyboard;2021-02-11T12:47:57;2021-02-11T14:22:12
4;transmitter grey Incredible Granite Pants;District;2021-02-11T00:42:36;2021-02-11T08:34:17
5;Communications;Table New Mexico invoice;2021-02-11T11:53:36;2021-02-11T00:33:02
6;bypassing;bleeding-edge synthesize;2021-02-11T06:22:07;2021-02-11T00:19:38
7;Buckinghamshire copy Indiana;Supervisor;2021-02-10T21:43:21;2021-02-11T16:46:26
8;Assistant product;Rustic;2021-02-11T10:47:01;2021-02-10T23:02:52
9;utilize;Iraq;2021-02-11T02:49:45;2021-02-11T04:35:34
10;violet violet synergize;Investor Security;2021-02-11T17:14:32;2021-02-11T05:57:52
